GP,FGA,FG_percent,3P Made,3P_percent,FTM,FT_percent,OREB,AST,STL,BLK,TOV,TARGET
64,6.9,49.0,0.0,22.2,1.0,66.3,1.1,1.2,0.3,0.4,0.9,1
68,4.6,58.1,0.0,0.0,1.3,72.7,1.5,0.5,0.5,0.5,1.4,1
77,5.1,54.5,0.0,0.0,1.0,58.7,2.1,0.7,0.5,0.6,1.2,1
68,5.5,45.6,0.0,8.3,1.6,74.3,1.1,1.3,0.3,0.2,1.0,1
77,4.0,47.6,0.0,0.0,1.4,63.2,1.1,0.5,0.3,0.4,1.1,1
66,3.1,47.1,0.0,0.0,1.4,69.3,1.1,0.8,0.6,0.2,0.7,1
67,4.7,42.3,0.1,25.0,0.5,72.9,1.0,1.8,0.6,0.3,0.9,0
65,4.2,47.6,0.0,0.0,1.4,68.7,1.2,0.4,0.3,0.3,1.2,1
65,5.0,41.3,0.1,35.0,0.8,76.9,0.6,1.1,0.7,0.3,0.8,0
62,3.2,52.7,0.0,0.0,0.7,63.9,1.1,0.4,0.3,0.1,0.9,1
64,4.7,45.0,0.1,23.5,1.2,70.1,0.7,1.3,0.4,0.1,0.9,0
59,4.4,54.4,0.0,0.0,0.8,64.9,1.2,1.0,0.3,0.5,1.0,1
70,4.3,65.9,0.0,0.0,1.7,62.6,1.4,0.9,0.7,0.8,1.1,0
62,5.3,44.1,0.3,32.0,0.8,79.7,0.7,0.7,0.4,0.1,0.9,1
35,4.1,39.3,0.0,0.0,0.5,35.3,1.0,0.5,0.2,0.2,1.1,0
42,3.6,38.0,0.1,33.3,0.5,75.0,0.3,1.0,0.6,0.1,0.7,0
59,4.7,41.1,0.0,4.5,1.1,86.8,0.6,0.5,0.3,0.1,0.8,1
45,4.1,48.6,0.0,0.0,0.2,60.0,0.7,0.6,0.2,0.2,0.4,0
67,4.9,42.6,0.3,28.3,0.4,78.9,0.4,0.9,0.4,0.1,0.7,1
60,3.4,46.8,0.0,0.0,0.7,69.0,0.6,0.7,0.3,0.3,0.6,1
41,2.9,42.7,0.0,0.0,0.7,75.0,0.6,1.1,0.3,0.0,0.6,0
62,3.3,43.6,0.0,0.0,0.9,74.6,0.6,0.4,0.1,0.1,0.6,1
43,3.1,37.8,0.1,20.0,1.0,63.6,0.3,0.8,0.3,0.1,0.8,0
53,1.7,45.5,0.0,0.0,0.6,60.8,0.7,0.3,0.1,0.6,0.6,0
54,2.5,33.8,0.2,31.0,0.3,63.0,0.1,0.6,0.2,0.0,0.5,0
50,16.3,47.4,0.0,0.0,4.5,73.9,2.5,2.0,1.1,2.1,3.4,0
82,14.3,49.0,0.0,20.0,3.0,68.7,3.7,2.4,1.2,0.5,3.0,1
81,12.5,49.6,0.0,0.0,2.4,48.1,2.1,2.9,1.3,0.5,3.4,1
81,12.4,51.5,0.0,0.0,2.0,68.4,2.4,1.0,0.4,0.5,2.3,1
79,8.4,49.0,0.0,33.3,2.9,74.6,2.0,1.0,0.8,2.6,1.8,1
55,11.3,46.3,0.1,18.5,3.4,89.6,0.8,1.9,1.3,0.4,1.4,1
81,11.5,46.8,0.1,28.0,1.6,55.7,1.1,2.0,0.8,0.1,1.9,1
82,7.3,48.1,0.1,31.3,2.3,79.8,0.7,4.8,0.8,0.1,1.9,1
82,4.9,42.6,0.0,0.0,1.8,73.0,1.4,1.1,0.5,0.5,1.1,0
77,7.0,51.9,0.0,0.0,2.3,66.2,3.3,1.7,0.9,0.4,2.3,1
82,6.3,50.7,0.0,0.0,1.9,60.7,2.1,0.7,0.5,0.8,1.4,1
58,6.6,46.6,0.0,22.2,1.3,78.1,2.0,1.2,0.5,0.6,1.3,0
80,5.7,55.8,0.0,0.0,2.1,67.3,1.2,1.1,0.9,0.5,1.9,1
82,4.7,53.9,0.0,16.7,1.2,61.1,2.0,0.7,0.6,0.6,1.2,1
71,3.9,45.6,0.0,0.0,1.2,53.1,1.6,0.6,0.4,0.1,1.2,1
64,6.7,46.9,0.0,0.0,1.4,64.7,1.7,0.3,0.5,0.1,1.1,1
79,5.2,48.3,0.0,18.2,2.7,78.5,0.3,4.3,1.0,0.1,2.0,1
79,5.7,47.4,0.2,31.0,1.6,80.6,0.4,2.5,1.0,0.0,1.3,1
34,6.3,42.7,0.6,31.0,1.0,59.6,1.1,0.5,0.5,0.5,1.2,0
71,4.4,45.7,0.3,31.1,0.6,61.1,0.3,2.9,0.9,0.1,1.4,0
78,3.9,47.2,0.0,9.1,1.0,61.9,1.2,1.1,1.0,0.8,1.2,0
76,4.6,48.1,0.1,27.0,1.0,78.5,0.6,3.5,0.9,0.0,1.4,0
80,4.3,46.5,0.0,0.0,1.2,72.3,1.4,0.6,0.3,0.4,1.3,1
68,5.5,40.9,0.0,17.6,0.7,58.3,0.7,0.9,0.4,0.1,0.9,0
64,3.3,52.8,0.0,19.308126410835214,0.6,43.5,1.4,0.3,0.2,0.3,0.9,0
64,3.3,52.8,0.0,19.308126410835214,0.6,43.5,1.4,0.3,0.2,0.3,0.9,0
53,2.1,60.4,0.0,19.308126410835214,0.3,42.5,0.9,0.3,0.4,0.4,0.4,0
66,4.5,48.0,0.0,0.0,0.7,85.2,0.6,0.8,0.3,0.1,0.9,0
77,4.4,38.4,0.7,32.0,0.4,75.6,0.2,0.9,0.4,0.2,0.6,0
45,4.1,40.8,0.1,20.0,0.3,60.0,0.1,1.8,0.4,0.1,1.1,0
45,4.0,38.3,0.0,11.1,0.4,51.4,0.3,1.5,0.8,0.1,0.9,0
64,3.5,45.5,0.0,0.0,1.2,72.8,0.2,1.2,0.4,0.1,0.7,1
55,2.9,44.4,0.0,50.0,1.1,55.8,0.7,1.6,0.8,0.3,0.9,1
57,4.1,44.2,0.0,20.0,0.9,92.6,0.4,0.9,0.4,0.1,0.6,1
36,2.4,55.7,0.0,0.0,0.7,66.7,0.4,0.2,0.1,0.2,0.5,0
57,2.8,36.4,0.0,25.0,1.1,92.9,0.2,1.2,0.3,0.1,0.9,1
48,3.1,40.7,0.0,0.0,0.6,79.5,0.8,0.3,0.1,0.2,0.8,1
75,3.4,30.8,0.4,26.4,0.4,64.4,0.3,3.2,0.9,0.1,1.2,0
82,19.8,51.5,0.1,17.3,7.7,84.5,2.0,5.9,2.4,0.8,3.5,1
80,11.5,47.0,0.0,0.0,3.3,76.7,1.9,3.1,1.2,0.1,2.5,1
76,7.3,53.7,0.0,0.0,2.1,71.1,2.7,2.8,0.7,2.7,2.3,1
82,9.5,54.5,0.0,16.7,3.6,73.3,3.2,1.9,1.2,1.0,2.5,1
82,9.0,47.1,0.1,25.0,2.4,82.0,2.3,1.6,0.8,0.8,1.2,1
80,7.8,44.6,0.1,20.0,1.8,82.9,0.4,4.4,1.3,0.1,2.1,1
79,9.0,51.1,0.0,19.308126410835214,1.4,78.4,2.0,0.5,0.5,1.1,1.5,1
82,8.4,60.0,0.0,0.0,2.8,62.0,2.3,1.4,0.4,0.5,2.3,1
82,8.4,46.7,0.0,22.2,1.5,65.7,2.2,0.4,0.4,0.6,1.3,1
75,5.3,54.3,0.0,0.0,1.3,73.7,1.7,0.7,0.6,0.4,1.1,1
79,7.6,49.8,0.1,36.4,1.6,73.4,1.5,3.5,1.6,0.3,2.1,1
78,6.2,55.7,0.0,0.0,2.4,71.5,1.9,1.0,0.2,0.4,1.5,1
78,5.8,52.0,0.0,0.0,2.3,64.8,1.8,1.6,0.6,0.8,1.8,1
78,5.8,52.0,0.0,0.0,2.3,64.8,1.8,1.6,0.6,0.8,1.8,0
78,5.8,52.0,0.0,0.0,2.3,64.8,1.8,1.6,0.6,0.8,1.8,0
29,4.2,31.7,0.7,31.1,0.4,50.0,0.3,1.4,0.6,0.2,1.0,1
29,4.2,31.7,0.7,31.1,0.4,50.0,0.3,1.4,0.6,0.2,1.0,0
29,4.2,31.7,0.7,31.1,0.4,50.0,0.3,1.4,0.6,0.2,1.0,0
72,5.2,45.4,0.0,0.0,1.1,85.9,1.2,1.5,0.4,0.1,1.3,1
82,5.7,46.0,0.0,0.0,1.4,67.8,1.8,1.9,0.7,0.1,1.4,1
62,6.0,52.8,0.0,33.3,1.6,78.9,1.3,1.3,0.5,1.3,1.7,1
78,6.1,45.3,0.3,35.1,1.3,75.4,0.5,3.1,1.0,0.1,1.4,1
75,5.9,47.0,0.0,0.0,1.2,47.4,1.4,0.5,0.5,0.5,1.9,1
82,4.1,47.1,0.0,18.2,1.7,73.6,0.3,5.1,1.3,0.1,1.8,1
74,6.2,45.9,0.1,16.0,1.4,81.0,0.5,1.7,0.6,0.2,1.1,0
74,3.9,46.0,0.0,18.8,0.7,71.1,0.5,2.9,1.0,0.2,1.3,0
54,4.3,49.8,0.0,0.0,1.2,54.1,1.6,0.3,0.4,0.3,1.2,1
74,4.6,47.8,0.0,0.0,0.7,73.3,1.2,0.5,0.2,0.2,1.0,0
36,5.4,43.1,0.0,50.0,1.1,82.0,1.1,0.9,0.3,0.2,0.9,1
78,3.9,49.2,0.0,0.0,1.1,66.9,1.0,1.3,0.4,0.2,1.3,1
67,2.7,58.9,0.0,0.0,0.5,39.8,1.0,0.8,0.5,0.8,0.9,0
59,4.6,41.6,0.0,0.0,1.2,70.6,0.8,1.4,0.3,0.2,1.3,0
77,4.8,47.8,0.0,0.0,1.5,64.6,1.2,0.8,0.6,0.4,0.9,1
53,1.6,32.6,0.0,0.0,0.4,56.4,1.0,0.4,0.2,0.8,0.8,0
60,2.4,48.6,0.0,19.308126410835214,0.8,75.8,0.7,0.5,0.2,0.5,1.2,1
56,4.7,49.6,0.0,0.0,1.0,80.0,0.7,0.4,0.5,0.1,1.2,1
63,4.6,38.3,0.0,22.2,0.6,75.5,0.4,1.4,0.5,0.1,1.1,0
66,3.5,39.7,0.0,25.0,1.0,70.7,0.8,0.4,0.2,0.2,0.8,0
51,3.7,44.0,0.0,0.0,0.5,75.0,0.8,0.7,0.2,0.2,0.6,0
60,4.0,36.7,0.0,0.0,0.5,50.9,0.7,0.4,0.4,0.1,0.7,0
59,3.6,37.3,0.0,0.0,0.7,76.5,0.6,0.9,0.5,0.2,0.6,1
51,3.8,48.2,0.0,0.0,0.8,64.2,0.6,0.3,0.2,0.3,0.7,0
47,4.0,38.3,0.0,0.0,1.1,68.8,0.2,0.4,0.5,0.1,0.7,0
38,3.5,37.3,0.1,13.3,0.5,69.2,0.1,1.2,0.2,0.0,0.7,1
43,2.2,41.5,0.0,0.0,0.3,52.0,0.6,0.6,0.2,0.1,0.4,0
39,1.3,41.2,0.0,19.308126410835214,0.3,50.0,0.5,0.3,0.2,0.3,0.4,0
39,3.2,41.9,0.1,36.4,0.5,67.7,0.4,0.7,0.1,0.1,0.8,0
38,1.8,38.8,0.0,0.0,0.4,88.2,0.2,0.7,0.1,0.0,0.5,1
82,16.7,52.3,0.0,25.0,3.5,66.1,3.6,2.0,0.8,2.4,3.6,1
81,10.1,48.0,0.0,18.8,2.3,75.3,1.4,2.1,0.9,0.8,2.0,1
80,7.0,46.9,0.0,0.0,1.8,73.0,0.8,8.3,1.5,0.2,3.4,1
79,8.5,49.9,0.0,25.0,2.3,73.1,2.2,2.2,0.7,0.7,1.5,1
52,4.3,35.6,0.3,24.5,0.8,63.8,0.9,0.3,0.4,0.1,0.9,1
82,10.9,44.8,0.1,24.1,2.6,74.2,1.7,2.3,1.3,0.1,1.7,1
81,7.3,51.2,0.0,0.0,1.1,75.2,1.4,1.6,0.5,1.5,1.3,1
81,11.3,44.4,0.3,32.4,1.8,82.6,0.7,1.9,0.3,0.2,1.4,1
81,6.7,46.2,0.0,16.7,3.1,78.5,0.9,3.9,1.6,0.4,2.1,1
80,4.6,49.6,0.0,0.0,0.9,59.0,2.2,0.9,0.4,1.8,1.4,1
74,9.3,48.4,0.1,23.5,1.5,80.6,0.7,2.4,1.1,0.3,1.6,1
82,8.1,46.7,0.1,23.1,1.4,77.2,1.5,1.5,0.8,0.5,0.9,0
82,5.5,44.3,0.0,11.5,0.8,67.3,0.6,2.9,1.2,0.3,1.4,1
79,5.1,53.6,0.0,25.0,1.8,83.7,1.3,1.2,0.7,0.5,1.3,1
80,7.3,44.8,0.3,26.2,1.5,78.7,0.5,2.2,0.7,0.1,1.4,0
31,2.7,45.8,0.0,0.0,0.7,65.6,1.2,0.2,0.2,0.7,0.6,0
73,6.7,44.5,0.1,24.3,0.9,88.9,0.3,3.3,0.4,0.0,1.1,1
82,6.8,45.1,0.0,25.0,1.5,72.8,1.4,1.9,1.3,0.3,1.5,1
72,5.6,46.4,0.0,9.1,1.1,72.7,0.8,1.8,0.8,0.1,1.0,0
82,6.3,41.7,0.0,26.7,2.5,79.1,0.9,3.5,1.6,0.2,2.4,1
78,3.3,41.3,0.0,11.1,1.4,77.7,0.4,3.4,1.2,0.1,1.4,0
67,7.4,45.6,0.2,41.4,1.3,71.9,1.6,0.8,0.6,0.1,1.2,1
75,5.4,44.1,0.0,0.0,1.3,71.4,1.2,2.3,0.5,0.2,1.3,1
78,4.1,50.3,0.0,40.0,0.4,60.9,0.2,0.9,0.2,0.0,0.4,1
49,4.7,43.9,0.0,0.0,1.1,71.4,1.2,0.5,0.4,0.3,1.2,1
78,3.1,51.7,0.0,0.0,0.4,60.8,0.8,0.8,0.3,1.1,0.8,1
38,4.7,41.6,0.8,37.5,0.6,67.6,0.2,0.7,0.4,0.1,0.9,0
55,5.7,45.9,0.1,26.3,0.9,77.0,0.7,1.3,0.3,0.1,0.8,0
40,5.4,50.9,0.0,0.0,1.0,85.1,0.5,1.2,0.5,0.0,0.8,0
47,2.6,38.8,0.0,0.0,0.7,70.0,1.0,0.9,0.2,0.4,0.7,0
45,3.3,41.9,0.0,12.5,0.5,82.1,0.4,0.9,0.3,0.0,0.7,1
49,2.8,44.5,0.1,18.2,0.3,61.5,0.1,3.0,0.2,0.0,0.7,1
48,3.4,49.7,0.0,0.0,1.2,61.5,0.4,0.8,0.5,0.4,1.0,0
39,2.3,54.4,0.0,0.0,0.5,53.8,1.0,0.5,0.5,0.3,0.5,0
57,3.1,38.4,0.0,0.0,0.6,69.6,0.8,0.3,0.2,0.7,0.6,1
57,2.2,39.7,0.1,23.1,0.3,78.3,0.4,0.8,0.4,0.0,0.4,1
33,4.1,37.3,0.3,29.0,0.8,62.5,0.4,2.4,1.0,0.3,1.2,0
53,3.3,37.9,0.6,36.0,0.3,93.8,0.7,0.4,0.3,0.0,0.2,0
15,2.5,27.0,0.0,0.0,0.5,66.7,0.5,0.5,0.1,0.1,1.0,0
45,2.5,57.1,0.0,0.0,0.8,41.8,0.8,0.5,0.3,0.2,0.4,0
55,2.6,44.8,0.0,0.0,0.3,64.3,0.2,0.8,0.3,0.1,0.6,1
35,1.9,45.5,0.0,0.0,0.1,31.3,0.8,0.2,0.0,0.1,0.6,1
70,18.7,52.3,0.0,0.0,4.2,70.9,4.3,2.5,1.8,0.9,2.9,1
81,17.5,47.9,0.0,22.2,3.2,74.1,4.2,2.8,1.7,0.5,2.7,1
76,13.3,46.6,0.1,20.0,2.7,73.0,1.1,3.7,0.9,0.1,2.7,1
82,8.5,44.8,0.2,31.7,2.5,79.2,1.9,2.1,0.8,0.8,1.6,1
76,9.3,45.2,0.3,22.2,1.2,72.3,0.7,3.6,1.1,0.1,2.1,1
58,2.2,53.5,0.0,0.0,0.9,71.2,0.8,0.4,0.3,0.9,0.3,0
77,10.0,57.9,0.0,25.0,1.8,62.4,2.0,1.7,1.2,0.8,2.3,1
78,8.3,46.2,0.2,46.7,0.6,67.2,1.0,2.5,0.7,0.1,0.9,1
73,10.6,42.8,0.1,34.5,1.2,69.6,1.0,2.1,0.7,0.3,1.9,1
80,4.4,46.2,0.0,0.0,1.0,69.0,1.5,1.0,0.4,0.6,1.7,1
82,3.0,59.5,0.0,0.0,0.9,61.4,2.1,0.8,0.8,0.1,0.6,1
74,6.3,40.8,0.0,13.3,1.8,75.3,0.5,4.9,1.2,0.2,2.5,0
82,7.0,48.7,0.0,12.5,2.4,81.0,0.4,2.6,0.6,0.0,1.9,0
79,5.9,45.7,0.0,11.1,1.3,59.7,1.1,2.6,1.3,0.6,2.0,1
51,2.5,42.2,0.0,20.0,0.7,64.2,0.7,0.5,0.5,0.2,0.7,0
75,4.0,47.9,0.0,0.0,1.1,69.9,0.9,3.4,1.6,0.1,1.3,1
81,4.4,41.4,0.0,0.0,0.7,65.6,1.1,1.4,0.3,3.4,1.7,1
75,4.3,53.3,0.0,0.0,1.7,74.1,1.9,1.4,0.6,0.9,1.1,0
44,3.6,40.0,0.0,0.0,0.7,65.2,0.6,2.5,0.9,0.3,1.4,0
77,5.2,43.1,0.7,34.4,1.0,72.8,0.7,0.8,0.6,0.2,0.6,0
43,4.0,38.0,0.0,0.0,1.0,73.7,0.3,2.9,0.5,0.2,1.6,0
76,6.9,42.9,0.1,40.0,2.0,83.3,0.7,1.8,0.8,0.2,1.4,1
78,5.5,40.4,0.1,36.8,0.6,69.6,1.4,1.5,0.7,0.3,1.2,1
77,5.6,47.6,0.0,25.0,0.8,73.5,1.2,0.8,0.3,0.3,1.1,0
68,5.5,43.2,0.0,0.0,0.9,76.2,0.3,2.5,0.8,0.1,1.7,1
52,3.2,45.5,0.1,13.9,0.7,67.3,0.5,0.4,0.4,0.2,0.8,0
62,4.4,48.5,0.0,0.0,1.4,57.1,1.7,0.8,0.4,0.6,1.2,1
71,4.0,51.2,0.0,0.0,1.3,65.0,1.9,0.5,0.6,0.9,1.4,1
53,3.9,53.4,0.0,0.0,0.8,77.4,1.3,0.9,0.4,0.2,0.8,0
44,3.1,31.4,0.0,0.0,0.8,78.3,0.9,0.8,0.3,0.2,0.7,0
68,2.7,36.4,0.0,11.1,0.7,81.0,0.3,1.9,0.2,0.0,1.4,0
68,2.7,36.4,0.0,11.1,0.7,81.0,0.3,1.9,0.2,0.0,1.4,1
49,3.5,43.5,0.0,14.3,0.9,57.7,0.6,0.7,0.4,0.1,1.0,1
54,3.5,44.5,0.0,0.0,0.1,47.1,0.8,0.5,0.3,0.2,0.5,0
52,3.5,42.0,0.0,0.0,0.3,57.1,0.8,0.3,0.1,0.6,0.4,0
62,2.8,47.7,0.0,14.3,1.2,76.0,0.4,1.1,0.4,0.1,0.9,1
65,3.6,54.3,0.0,0.0,1.1,64.2,0.7,0.5,0.3,0.0,0.8,1
40,1.7,48.5,0.1,15.4,0.2,70.0,0.9,0.4,0.5,0.3,0.5,0
55,4.3,44.9,0.2,36.0,0.5,73.7,0.5,0.6,0.3,0.1,0.6,0
48,2.9,40.6,0.0,0.0,0.8,67.8,0.6,0.6,0.3,0.2,1.0,0
23,1.3,36.7,0.0,0.0,0.4,45.0,0.7,0.5,0.1,0.3,0.7,0
63,3.8,37.4,0.1,22.0,0.6,64.4,0.5,0.8,0.6,0.1,0.7,0
44,3.1,41.5,0.0,0.0,0.8,66.0,0.3,0.8,0.5,0.1,0.9,0
54,1.7,40.4,0.0,0.0,0.1,31.3,0.8,0.2,0.1,0.3,0.4,1
39,2.3,37.5,0.0,14.3,0.5,56.3,0.4,0.4,0.2,0.1,0.5,1
36,1.8,45.3,0.0,0.0,0.6,44.4,0.9,0.2,0.1,0.1,1.0,1
31,1.2,34.2,0.0,0.0,0.4,55.0,0.5,0.1,0.2,0.0,0.3,1
35,2.8,36.1,0.0,9.1,0.9,66.7,0.2,0.6,0.1,0.1,0.4,0
82,15.6,49.6,0.1,22.7,6.0,79.7,2.7,3.3,1.1,0.2,3.4,1
82,10.7,58.2,0.0,0.0,3.0,62.4,4.2,1.3,1.0,1.0,2.9,1
72,14.8,42.4,0.2,28.8,4.2,70.4,0.8,7.8,2.1,0.2,4.2,1
81,13.0,52.5,0.0,0.0,3.5,62.0,2.6,1.8,0.7,0.6,2.7,1
81,17.9,49.7,0.0,25.0,3.6,71.6,2.2,2.2,1.1,0.3,2.4,1
51,16.1,46.5,0.5,35.2,3.3,68.0,1.7,3.2,0.7,0.4,2.6,1
82,10.4,47.7,0.0,28.6,1.5,67.0,2.1,1.7,0.7,2.2,1.7,1
82,9.1,56.1,0.0,33.3,4.2,75.2,3.1,1.6,0.5,0.7,2.9,1
79,10.3,41.4,0.2,21.5,1.9,75.0,0.4,4.8,1.0,0.1,2.0,1
80,8.0,44.1,0.0,0.0,1.2,70.3,1.8,2.4,0.9,0.0,1.4,1
78,8.3,61.3,0.0,0.0,2.7,64.2,1.9,1.2,0.5,1.1,2.5,1
76,10.7,48.2,0.0,23.1,1.8,77.8,1.4,1.9,0.8,0.5,2.4,1
80,8.2,47.7,0.0,0.0,1.8,68.4,2.0,1.8,0.7,0.2,1.3,1
74,8.7,45.9,0.0,9.1,1.3,66.4,1.7,1.5,0.7,0.2,1.3,1
74,8.7,45.9,0.0,9.1,1.3,66.4,1.7,1.5,0.7,0.2,1.3,1
82,6.4,48.1,0.0,0.0,1.7,75.7,1.6,1.8,0.6,0.9,1.8,1
79,6.1,43.4,0.0,0.0,1.7,77.5,1.4,0.6,0.5,0.3,1.4,0
59,4.7,55.6,0.0,19.308126410835214,0.8,55.1,1.5,0.6,0.8,1.3,1.1,0
64,3.6,51.8,0.0,0.0,0.9,50.4,1.8,0.9,0.9,1.2,1.2,1
63,4.7,46.1,0.0,19.308126410835214,1.0,58.3,1.5,1.0,0.3,1.3,0.9,1
71,4.2,50.3,0.0,19.308126410835214,0.7,70.8,1.5,0.7,0.6,0.3,0.8,1
82,5.5,41.3,0.0,0.0,1.9,76.0,0.6,3.3,1.1,0.0,1.6,1
63,5.8,45.3,0.1,28.1,1.0,72.6,1.0,2.5,0.8,0.2,1.3,0
64,6.1,46.5,0.3,30.5,1.0,65.7,0.4,2.3,0.8,0.1,1.4,0
71,6.3,46.4,0.0,0.0,1.1,72.0,1.0,1.2,0.5,0.4,1.0,0
75,5.3,51.3,0.0,0.0,1.9,69.9,1.1,1.1,0.3,0.3,1.4,1
80,3.6,51.9,0.0,0.0,0.8,52.0,1.4,1.1,0.2,1.5,1.6,1
80,5.5,52.1,0.0,0.0,0.9,64.1,1.2,1.0,0.5,0.9,1.3,1
77,3.4,54.6,0.0,0.0,1.2,60.1,0.9,0.7,0.4,0.3,0.9,1
49,3.6,43.5,0.0,0.0,0.8,59.4,0.8,0.8,0.4,0.0,0.5,0
24,2.4,31.6,0.3,28.0,0.5,73.3,0.1,1.4,0.4,0.0,0.8,0
72,2.3,50.9,0.0,19.308126410835214,0.5,45.9,1.0,0.6,0.3,0.7,0.7,0
54,3.6,51.0,0.0,0.0,0.9,82.0,0.4,0.5,0.3,0.0,0.8,1
49,4.5,45.9,0.1,22.2,0.4,64.3,0.3,1.4,0.5,0.0,1.1,0
46,1.8,58.3,0.0,50.0,0.7,82.5,0.6,0.8,0.4,0.1,0.8,0
54,3.4,47.8,0.0,0.0,0.6,81.1,1.0,0.6,0.2,0.2,0.8,0
53,4.2,35.7,0.1,29.4,1.1,86.2,0.5,1.6,0.7,0.1,1.0,1
39,4.4,46.5,0.0,0.0,0.8,58.5,0.9,0.4,0.5,0.1,0.9,1
43,2.3,54.0,0.0,66.7,0.8,50.7,0.3,1.3,0.4,0.1,1.0,0
39,2.6,52.4,0.0,0.0,0.7,60.4,0.8,0.3,0.3,0.1,0.7,0
43,2.8,35.5,0.5,30.1,0.2,77.8,0.3,0.3,0.2,0.0,0.3,0
42,2.9,45.8,0.0,0.0,0.8,65.4,0.5,0.2,0.2,0.1,0.4,0
42,3.6,43.3,0.0,0.0,0.5,74.1,0.2,1.1,0.4,0.1,0.6,1
49,2.8,44.4,0.0,0.0,0.6,73.2,0.4,0.1,0.1,0.0,0.4,0
51,2.4,45.1,0.0,0.0,0.8,67.7,0.2,0.4,0.3,0.1,0.7,0
36,2.4,32.2,0.0,0.0,0.3,64.7,0.5,0.4,0.3,0.1,0.6,1
82,15.3,49.1,0.0,0.0,3.8,71.6,3.3,1.4,0.6,1.5,3.0,1
81,19.1,46.4,0.1,19.2,2.8,71.6,1.0,2.4,1.3,0.5,2.9,1
82,7.2,51.2,0.0,0.0,2.2,58.8,5.3,1.1,0.8,0.8,1.8,1
79,9.5,48.6,0.1,27.8,1.7,63.7,2.3,3.2,1.1,0.3,1.9,1
80,14.5,45.2,0.0,9.7,2.1,74.9,0.5,6.9,1.1,0.1,2.9,1
33,5.3,37.1,0.2,17.4,1.1,86.0,0.2,2.8,0.4,0.0,1.5,0
37,2.5,36.3,0.1,19.0,0.2,66.7,0.6,0.3,0.2,0.0,0.4,0
81,8.3,50.3,0.0,0.0,1.4,76.5,3.3,2.7,0.7,1.0,1.6,1
82,12.4,47.9,0.0,0.0,2.8,70.6,2.6,2.5,1.2,0.4,2.0,1
56,12.3,42.3,0.0,0.0,2.8,76.7,2.4,1.3,1.0,1.8,2.3,1
81,10.1,46.8,0.1,24.0,1.6,73.3,1.2,3.7,1.7,0.4,2.2,1
75,10.7,49.5,0.1,31.0,2.1,71.2,0.4,3.6,0.8,0.1,2.9,1
68,7.1,46.0,0.0,0.0,1.9,69.9,1.8,1.5,0.5,0.3,1.8,0
70,5.9,45.3,0.0,33.3,0.7,80.6,1.2,1.9,0.7,0.1,1.3,0
81,10.0,44.4,0.0,0.0,2.6,77.6,1.6,2.3,1.3,0.3,2.1,1
82,8.6,49.1,0.0,0.0,2.0,80.7,2.1,1.6,0.7,0.3,1.5,1
79,8.6,49.9,0.0,0.0,1.6,66.3,1.7,1.0,0.6,0.6,1.6,0
76,6.4,40.7,0.1,23.5,1.4,79.7,0.3,3.3,1.2,0.1,2.2,1
76,6.4,40.7,0.1,23.5,1.4,79.7,0.3,3.3,1.2,0.1,2.2,0
82,8.1,53.3,0.0,0.0,1.3,67.9,1.9,0.7,0.3,1.8,1.3,1
71,6.7,44.4,0.1,14.8,1.0,75.0,0.6,3.2,0.9,0.2,1.5,0
81,6.3,46.0,0.0,0.0,2.2,72.9,1.4,1.4,0.6,0.3,1.8,0
82,6.3,47.9,0.0,5.3,1.3,61.0,0.7,4.5,1.5,0.3,1.9,1
56,4.6,45.0,0.0,19.308126410835214,0.5,67.5,1.1,0.7,0.6,0.8,1.1,1
82,6.5,51.1,0.1,23.5,1.3,89.9,0.5,2.0,0.9,0.1,1.2,1
74,3.9,47.8,0.0,20.0,1.6,79.3,0.9,1.5,0.8,0.3,1.1,1
28,1.4,42.5,0.3,30.4,0.2,85.7,0.3,0.4,0.2,0.1,0.5,0
60,6.0,52.9,0.0,0.0,2.4,67.0,1.5,0.7,0.6,1.4,1.7,1
64,3.0,49.5,0.0,0.0,0.7,75.0,0.3,1.8,0.9,0.1,1.4,0
68,3.5,54.2,0.0,0.0,1.5,59.4,1.6,0.6,0.1,1.1,1.0,1
65,3.2,45.2,0.2,32.6,0.8,72.9,0.5,0.7,0.3,0.7,0.9,1
53,4.0,41.2,0.0,33.3,0.8,68.3,0.2,2.6,0.5,0.1,1.0,1
52,4.2,50.7,0.0,0.0,0.5,67.5,1.3,0.5,0.4,0.8,0.7,1
45,3.6,51.2,0.0,0.0,0.4,76.2,1.2,0.5,0.2,0.3,0.7,1
54,4.6,46.2,0.1,30.0,1.3,73.7,0.6,1.0,0.4,0.0,0.9,1
81,4.6,44.2,0.0,20.0,0.6,76.6,0.4,0.9,0.4,0.1,0.7,1
40,2.5,32.7,0.0,0.0,0.1,55.6,0.2,1.4,0.5,0.1,0.9,0
48,3.8,46.2,0.0,0.0,0.6,69.0,0.8,0.6,0.5,0.3,0.7,0
37,3.4,46.0,0.1,27.3,0.7,65.0,0.6,0.2,0.2,0.0,0.4,0
44,5.1,41.8,0.0,16.7,0.6,66.7,1.1,0.2,0.3,0.1,0.7,0
55,4.0,45.7,0.0,0.0,0.6,60.3,1.1,0.5,0.3,0.1,1.1,0
52,3.9,45.4,0.0,0.0,0.6,51.6,1.0,0.5,0.4,0.4,0.6,1
