,Name,GP,FGA,FG_percent,3P Made,3P_percent,FTM,FT_percent,OREB,AST,STL,BLK,TOV,TARGET
239,Armen Gilliam,55,13.1,47.5,0.0,0.0,2.4,67.9,2.4,1.3,1.1,0.5,2.2,1
240,Winston Garland,67,11.6,43.9,0.2,33.3,2.1,87.9,1.0,6.4,1.7,0.1,2.5,1
241,Joe Wolf,42,8.0,40.7,0.1,20.0,1.1,83.3,1.2,2.3,0.9,0.4,1.8,1
242,Reggie Williams,35,12.2,35.6,0.4,22.4,1.4,72.7,1.6,1.7,0.8,0.6,1.8,1
243,Reggie Williams,35,12.2,35.6,0.4,22.4,1.4,72.7,1.6,1.7,0.8,0.6,1.8,1
244,Greg Anderson,82,9.2,50.1,0.0,20.0,2.4,60.4,2.0,1.0,0.7,1.5,1.7,1
245,Kevin Johnson,80,7.5,46.1,0.1,20.8,2.2,83.9,0.5,5.5,1.3,0.3,1.8,1
246,Horace Grant,81,6.3,50.1,0.0,0.0,1.4,62.6,1.9,1.1,0.6,0.7,1.1,1
247,Reggie Miller*,82,7.6,48.8,0.7,35.5,1.8,80.1,1.2,1.6,0.7,0.2,1.2,1
248,Dennis Hopson,61,9.0,40.4,0.2,26.7,2.1,74.0,1.0,1.9,0.9,0.4,1.9,1
249,Ken Norman,66,7.6,48.2,0.0,0.0,1.3,51.2,1.5,1.2,0.7,0.5,1.6,1
250,Ryan Kelly,59,6.3,42.3,0.8,33.8,1.9,81.5,0.7,1.6,0.5,0.8,0.8,0
251,Scottie Pippen*,79,7.1,46.3,0.1,17.4,1.3,57.6,1.5,2.1,1.1,0.7,1.7,1
252,Derrick McKey,82,6.3,49.1,0.1,36.7,2.1,77.2,1.4,1.3,0.8,0.8,1.3,1
253,Muggsy Bogues,79,5.4,39.0,0.0,18.8,0.7,78.4,0.4,5.1,1.6,0.0,1.3,1
254,Tellis Frank,78,7.2,42.8,0.0,0.0,1.9,72.5,1.2,1.4,0.7,0.3,1.4,1
255,Ricky Wilson,24,4.6,39.1,0.4,38.5,1.2,72.5,0.1,2.9,1.0,0.1,1.0,0
256,Dave Hoppen,39,4.7,45.9,0.0,0.0,1.4,87.1,1.5,0.8,0.3,0.1,0.9,1
257,Dallas Comegys,75,4.8,43.0,0.0,0.0,1.4,70.7,0.7,0.9,0.5,0.9,1.6,0
258,Mark Acres,79,2.6,53.2,0.0,0.0,0.9,64.0,1.3,0.5,0.4,0.3,0.7,1
259,Michael Jackson,58,2.9,37.4,0.1,24.0,0.4,71.9,0.3,3.1,0.3,0.1,1.0,0
260,Tony White,49,5.1,44.6,0.0,0.0,0.8,72.2,0.2,1.2,0.4,0.0,1.0,0
261,Brad Lohaus,70,3.5,49.6,0.0,23.1,0.7,80.6,0.7,0.7,0.3,0.6,0.8,1
262,Milt Wagner,40,3.7,42.2,0.1,20.0,0.7,89.7,0.1,1.5,0.1,0.1,0.6,0
263,Chris Dudley,55,2.5,47.4,0.0,0.0,0.7,56.3,1.3,0.4,0.2,0.3,0.6,1
264,Clinton Wheeler,59,2.2,47.0,0.0,0.0,0.4,73.5,0.3,1.7,0.6,0.0,0.9,0
265,Billy Donovan,44,2.5,40.4,0.0,0.0,0.4,81.0,0.1,2.0,0.4,0.0,0.9,0
266,Reggie Lewis,49,3.9,46.6,0.0,0.0,0.8,70.2,0.6,0.5,0.3,0.3,0.6,1
267,Martin Nessley,44,1.2,38.5,0.0,0.0,0.2,44.4,0.5,0.4,0.2,0.3,0.5,0
268,John Stroeder,41,1.9,36.7,0.0,0.0,0.5,66.7,0.6,0.5,0.1,0.3,0.6,0
269,Bart Kofoed,36,1.3,37.5,0.1,28.6,0.2,61.5,0.1,0.6,0.2,0.0,0.5,1
270,Ray McCallum,45,6.7,37.7,0.5,37.3,0.7,74.4,0.4,2.7,0.5,0.2,0.9,0
271,Ralph Lewis,50,1.7,31.0,0.0,0.0,0.6,60.4,0.3,0.3,0.3,0.1,0.4,0
272,Ron Harper,82,19.7,45.5,0.2,21.3,4.7,68.4,2.1,4.8,2.5,1.0,4.2,1
273,Chuck Person,82,16.6,46.8,0.6,35.5,2.7,74.7,2.0,3.6,1.1,0.2,2.6,1
274,Hot Rod Williams,80,11.2,48.5,0.0,0.0,3.7,74.5,2.8,1.9,0.7,2.1,1.7,1
275,Brad Daugherty,80,11.3,53.8,0.0,0.0,3.5,69.6,1.9,3.8,0.6,0.8,3.1,1
276,Nate McMillan,71,4.2,47.5,0.0,0.0,1.2,61.7,1.4,8.2,1.8,0.6,2.2,1
277,Kenny Walker,68,8.5,49.1,0.0,0.0,2.1,75.7,1.7,1.1,0.7,0.7,1.1,1
278,Walter Berry,63,12.2,53.1,0.0,0.0,3.0,64.9,2.2,1.7,0.6,0.6,2.4,0
279,John Williams,78,8.0,45.4,0.1,22.2,1.8,64.6,1.7,2.4,1.6,0.4,1.6,1
280,Kentavious Caldwell-Pope,80,5.8,39.6,0.7,31.9,0.6,77.0,0.5,0.7,0.9,0.1,0.3,0
281,Brad Sellers,80,7.6,45.5,0.0,20.0,1.6,72.8,1.9,1.3,0.6,0.8,1.1,1
282,David Wingate,77,7.8,43.0,0.2,25.0,1.9,74.1,0.9,2.0,1.2,0.3,1.7,1
283,Johnny Dawkins,81,9.4,43.7,0.2,29.8,1.9,80.1,0.7,3.6,0.8,0.0,1.5,1
284,William Bedford,50,7.2,39.7,0.0,0.0,1.0,58.1,1.6,1.1,0.4,0.7,1.7,1
285,Jeff Hornacek,80,4.4,45.4,0.2,27.9,1.2,77.7,0.5,4.5,0.9,0.1,1.9,1
286,Roy Tarpley,75,6.7,46.7,0.0,33.3,1.3,67.6,2.4,0.7,0.8,1.1,1.4,1
287,Mark Price,67,6.3,40.8,0.3,32.9,1.4,83.3,0.5,3.0,0.6,0.1,1.6,1
288,John Salley,82,3.5,56.2,0.0,0.0,1.3,61.4,1.3,0.7,0.5,1.5,0.9,1
289,Mark Alarie,64,6.9,49.0,0.0,22.2,1.0,66.3,1.1,1.2,0.3,0.4,0.9,1
290,Ben Coleman,68,4.6,58.1,0.0,0.0,1.3,72.7,1.5,0.5,0.5,0.5,1.4,1
291,Dennis Rodman*,77,5.1,54.5,0.0,0.0,1.0,58.7,2.1,0.7,0.5,0.6,1.2,1
292,Larry Krystkowiak,68,5.5,45.6,0.0,8.3,1.6,74.3,1.1,1.3,0.3,0.2,1.0,1
293,Kenny Gattison,77,4.0,47.6,0.0,0.0,1.4,63.2,1.1,0.5,0.3,0.4,1.1,1
294,Tim Kempton,66,3.1,47.1,0.0,0.0,1.4,69.3,1.1,0.8,0.6,0.2,0.7,1
295,Harold Pressley,67,4.7,42.3,0.1,25.0,0.5,72.9,1.0,1.8,0.6,0.3,0.9,0
296,Kevin Duckworth,65,4.2,47.6,0.0,0.0,1.4,68.7,1.2,0.4,0.3,0.3,1.2,1
297,Anthony Jones,65,5.0,41.3,0.1,35.0,0.8,76.9,0.6,1.1,0.7,0.3,0.8,0
298,Mike Brown,62,3.2,52.7,0.0,0.0,0.7,63.9,1.1,0.4,0.3,0.1,0.9,1
299,Grant Gondrezick,64,4.7,45.0,0.1,23.5,1.2,70.1,0.7,1.3,0.4,0.1,0.9,0
300,Billy Thompson,59,4.4,54.4,0.0,0.0,0.8,64.9,1.2,1.0,0.3,0.5,1.0,1
301,Mason Plumlee,70,4.3,65.9,0.0,0.0,1.7,62.6,1.4,0.9,0.7,0.8,1.1,0
302,Rafael Addison,62,5.3,44.1,0.3,32.0,0.8,79.7,0.7,0.7,0.4,0.1,0.9,1
303,Chris Washburn,35,4.1,39.3,0.0,0.0,0.5,35.3,1.0,0.5,0.2,0.2,1.1,0
304,Keith Smith,42,3.6,38.0,0.1,33.3,0.5,75.0,0.3,1.0,0.6,0.1,0.7,0
305,Johnny Newman,59,4.7,41.1,0.0,4.5,1.1,86.8,0.6,0.5,0.3,0.1,0.8,1
306,Johnny Rogers,45,4.1,48.6,0.0,0.0,0.2,60.0,0.7,0.6,0.2,0.2,0.4,0
307,Dell Curry,67,4.9,42.6,0.3,28.3,0.4,78.9,0.4,0.9,0.4,0.1,0.7,1
308,Buck Johnson,60,3.4,46.8,0.0,0.0,0.7,69.0,0.6,0.7,0.3,0.3,0.6,1
309,Clinton Smith,41,2.9,42.7,0.0,0.0,0.7,75.0,0.6,1.1,0.3,0.0,0.6,0
310,Dave Feitl,62,3.3,43.6,0.0,0.0,0.9,74.6,0.6,0.4,0.1,0.1,0.6,1
311,Bob Martin,43,3.1,37.8,0.1,20.0,1.0,63.6,0.3,0.8,0.3,0.1,0.8,0
312,Bob Martin,53,1.7,45.5,0.0,0.0,0.6,60.8,0.7,0.3,0.1,0.6,0.6,0
313,Conner Henry,54,2.5,33.8,0.2,31.0,0.3,63.0,0.1,0.6,0.2,0.0,0.5,0
314,Patrick Ewing,50,16.3,47.4,0.0,0.0,4.5,73.9,2.5,2.0,1.1,2.1,3.4,0
315,Xavier McDaniel,82,14.3,49.0,0.0,20.0,3.0,68.7,3.7,2.4,1.2,0.5,3.0,1
316,Karl Malone*,81,12.5,49.6,0.0,0.0,2.4,48.1,2.1,2.9,1.3,0.5,3.4,1
317,Wayman Tisdale,81,12.4,51.5,0.0,0.0,2.0,68.4,2.4,1.0,0.4,0.5,2.3,1
318,Benoit Benjamin,79,8.4,49.0,0.0,33.3,2.9,74.6,2.0,1.0,0.8,2.6,1.8,1
319,Chris Mullin*,55,11.3,46.3,0.1,18.5,3.4,89.6,0.8,1.9,1.3,0.4,1.4,1
320,Gerald Wilkins,81,11.5,46.8,0.1,28.0,1.6,55.7,1.1,2.0,0.8,0.1,1.9,1
321,Joe Dumars*,82,7.3,48.1,0.1,31.3,2.3,79.8,0.7,4.8,0.8,0.1,1.9,1
322,Cody Zeller,82,4.9,42.6,0.0,0.0,1.8,73.0,1.4,1.1,0.5,0.5,1.1,0
323,Charles Oakley,77,7.0,51.9,0.0,0.0,2.3,66.2,3.3,1.7,0.9,0.4,2.3,1
324,Jon Koncak,82,6.3,50.7,0.0,0.0,1.9,60.7,2.1,0.7,0.5,0.8,1.4,1
325,Keith Lee,58,6.6,46.6,0.0,22.2,1.3,78.1,2.0,1.2,0.5,0.6,1.3,0
326,Ed Pinckney,80,5.7,55.8,0.0,0.0,2.1,67.3,1.2,1.1,0.9,0.5,1.9,1
327,A.C. Green,82,4.7,53.9,0.0,16.7,1.2,61.1,2.0,0.7,0.6,0.6,1.2,1
328,Bob Thornton,71,3.9,45.6,0.0,0.0,1.2,53.1,1.6,0.6,0.4,0.1,1.2,1
329,Terry Catledge,64,6.7,46.9,0.0,0.0,1.4,64.7,1.7,0.3,0.5,0.1,1.1,1
330,Spud Webb,79,5.2,48.3,0.0,18.2,2.7,78.5,0.3,4.3,1.0,0.1,2.0,1
331,Terry Porter,79,5.7,47.4,0.2,31.0,1.6,80.6,0.4,2.5,1.0,0.0,1.3,1
332,Marquese Chriss,34,6.3,42.7,0.6,31.0,1.0,59.6,1.1,0.5,0.5,0.5,1.2,0
333,Nick Calathes,71,4.4,45.7,0.3,31.1,0.6,61.1,0.3,2.9,0.9,0.1,1.4,0
334,Carey Scurry,78,3.9,47.2,0.0,9.1,1.0,61.9,1.2,1.1,1.0,0.8,1.2,0
335,Dirk Minniefield,76,4.6,48.1,0.1,27.0,1.0,78.5,0.6,3.5,0.9,0.0,1.4,0
336,Joe Kleine,80,4.3,46.5,0.0,0.0,1.2,72.3,1.4,0.6,0.3,0.4,1.3,1
337,Alfredrick Hughes,68,5.5,40.9,0.0,17.6,0.7,58.3,0.7,0.9,0.4,0.1,0.9,0
338,Ken Johnson,64,3.3,52.8,0.0,,0.6,43.5,1.4,0.3,0.2,0.3,0.9,0
339,Ken Johnson,64,3.3,52.8,0.0,,0.6,43.5,1.4,0.3,0.2,0.3,0.9,0
340,Pete Williams,53,2.1,60.4,0.0,,0.3,42.5,0.9,0.3,0.4,0.4,0.4,0
341,Bill Martin,66,4.5,48.0,0.0,0.0,0.7,85.2,0.6,0.8,0.3,0.1,0.9,0
342,Tony Snell,77,4.4,38.4,0.7,32.0,0.4,75.6,0.2,0.9,0.4,0.2,0.6,0
343,Fred Cofield,45,4.1,40.8,0.1,20.0,0.3,60.0,0.1,1.8,0.4,0.1,1.1,0
344,Dwayne McClain,45,4.0,38.3,0.0,11.1,0.4,51.4,0.3,1.5,0.8,0.1,0.9,0
345,John Battle,64,3.5,45.5,0.0,0.0,1.2,72.8,0.2,1.2,0.4,0.1,0.7,1
346,Jerry Reynolds,55,2.9,44.4,0.0,50.0,1.1,55.8,0.7,1.6,0.8,0.3,0.9,1
347,Steve Harris,57,4.1,44.2,0.0,20.0,0.9,92.6,0.4,0.9,0.4,0.1,0.6,1
348,Lorenzo Charles,36,2.4,55.7,0.0,0.0,0.7,66.7,0.4,0.2,0.1,0.2,0.5,0
349,Sam Vincent,57,2.8,36.4,0.0,25.0,1.1,92.9,0.2,1.2,0.3,0.1,0.9,1
350,Blair Rasmussen,48,3.1,40.7,0.0,0.0,0.6,79.5,0.8,0.3,0.1,0.2,0.8,1
351,Phil Pressey,75,3.4,30.8,0.4,26.4,0.4,64.4,0.3,3.2,0.9,0.1,1.2,0
352,Michael Jordan*,82,19.8,51.5,0.1,17.3,7.7,84.5,2.0,5.9,2.4,0.8,3.5,1
353,Vern Fleming,80,11.5,47.0,0.0,0.0,3.3,76.7,1.9,3.1,1.2,0.1,2.5,1
354,Sam Bowie,76,7.3,53.7,0.0,0.0,2.1,71.1,2.7,2.8,0.7,2.7,2.3,1
355,Charles Barkley*,82,9.5,54.5,0.0,16.7,3.6,73.3,3.2,1.9,1.2,1.0,2.5,1
356,Sam Perkins,82,9.0,47.1,0.1,25.0,2.4,82.0,2.3,1.6,0.8,0.8,1.2,1
357,Jay Humphries,80,7.8,44.6,0.1,20.0,1.8,82.9,0.4,4.4,1.3,0.1,2.1,1
358,Melvin Turpin,79,9.0,51.1,0.0,,1.4,78.4,2.0,0.5,0.5,1.1,1.5,1
359,Otis Thorpe,82,8.4,60.0,0.0,0.0,2.8,62.0,2.3,1.4,0.4,0.5,2.3,1
360,Kevin Willis,82,8.4,46.7,0.0,22.2,1.5,65.7,2.2,0.4,0.4,0.6,1.3,1
361,Michael Cage,75,5.3,54.3,0.0,0.0,1.3,73.7,1.7,0.7,0.6,0.4,1.1,1
362,Alvin Robertson,79,7.6,49.8,0.1,36.4,1.6,73.4,1.5,3.5,1.6,0.3,2.1,1
363,Tim McCormick,78,6.2,55.7,0.0,0.0,2.4,71.5,1.9,1.0,0.2,0.4,1.5,1
364,Charles Jones,78,5.8,52.0,0.0,0.0,2.3,64.8,1.8,1.6,0.6,0.8,1.8,1
365,Charles Jones,78,5.8,52.0,0.0,0.0,2.3,64.8,1.8,1.6,0.6,0.8,1.8,0
366,Charles Jones,78,5.8,52.0,0.0,0.0,2.3,64.8,1.8,1.6,0.6,0.8,1.8,0
367,Charles Jones,29,4.2,31.7,0.7,31.1,0.4,50.0,0.3,1.4,0.6,0.2,1.0,1
368,Charles Jones,29,4.2,31.7,0.7,31.1,0.4,50.0,0.3,1.4,0.6,0.2,1.0,0
369,Charles Jones,29,4.2,31.7,0.7,31.1,0.4,50.0,0.3,1.4,0.6,0.2,1.0,0
370,Jeff Turner,72,5.2,45.4,0.0,0.0,1.1,85.9,1.2,1.5,0.4,0.1,1.3,1
371,Tony Brown,82,5.7,46.0,0.0,0.0,1.4,67.8,1.8,1.9,0.7,0.1,1.4,1
372,Antoine Carr,62,6.0,52.8,0.0,33.3,1.6,78.9,1.3,1.3,0.5,1.3,1.7,1
373,Steve Colter,78,6.1,45.3,0.3,35.1,1.3,75.4,0.5,3.1,1.0,0.1,1.4,1
374,Ken Bannister,75,5.9,47.0,0.0,0.0,1.2,47.4,1.4,0.5,0.5,0.5,1.9,1
375,John Stockton*,82,4.1,47.1,0.0,18.2,1.7,73.6,0.3,5.1,1.3,0.1,1.8,1
376,Terence Stansbury,74,6.2,45.9,0.1,16.0,1.4,81.0,0.5,1.7,0.6,0.2,1.1,0
377,Othell Wilson,74,3.9,46.0,0.0,18.8,0.7,71.1,0.5,2.9,1.0,0.2,1.3,0
378,Eddie Lee Wilkins,54,4.3,49.8,0.0,0.0,1.2,54.1,1.6,0.3,0.4,0.3,1.2,1
379,Chuck Aleksinas,74,4.6,47.8,0.0,0.0,0.7,73.3,1.2,0.5,0.2,0.2,1.0,0
380,Ron Anderson,36,5.4,43.1,0.0,50.0,1.1,82.0,1.1,0.9,0.3,0.2,0.9,1
381,Frank Brickowski,78,3.9,49.2,0.0,0.0,1.1,66.9,1.0,1.3,0.4,0.2,1.3,1
382,Ozell Jones,67,2.7,58.9,0.0,0.0,0.5,39.8,1.0,0.8,0.5,0.8,0.9,0
383,Devin Durrant,59,4.6,41.6,0.0,0.0,1.2,70.6,0.8,1.4,0.3,0.2,1.3,0
384,Jerome Kersey,77,4.8,47.8,0.0,0.0,1.5,64.6,1.2,0.8,0.6,0.4,0.9,1
385,Ron Cavenall,53,1.6,32.6,0.0,0.0,0.4,56.4,1.0,0.4,0.2,0.8,0.8,0
386,Jim Petersen,60,2.4,48.6,0.0,,0.8,75.8,0.7,0.5,0.2,0.5,1.2,1
387,Tony Campbell,56,4.7,49.6,0.0,0.0,1.0,80.0,0.7,0.4,0.5,0.1,1.2,1
388,Lancaster Gordon,63,4.6,38.3,0.0,22.2,0.6,75.5,0.4,1.4,0.5,0.1,1.1,0
389,Gary Plummer,66,3.5,39.7,0.0,25.0,1.0,70.7,0.8,0.4,0.2,0.2,0.8,0
390,Kenny Fields,51,3.7,44.0,0.0,0.0,0.5,75.0,0.8,0.7,0.2,0.2,0.6,0
391,Cory Blackwell,60,4.0,36.7,0.0,0.0,0.5,50.9,0.7,0.4,0.4,0.1,0.7,0
392,Bernard Thompson,59,3.6,37.3,0.0,0.0,0.7,76.5,0.6,0.9,0.5,0.2,0.6,1
393,Peter Thibeaux,51,3.8,48.2,0.0,0.0,0.8,64.2,0.6,0.3,0.2,0.3,0.7,0
394,Steve Burtt,47,4.0,38.3,0.0,0.0,1.1,68.8,0.2,0.4,0.5,0.1,0.7,0
395,Leon Wood,38,3.5,37.3,0.1,13.3,0.5,69.2,0.1,1.2,0.2,0.0,0.7,1
396,Charlie Sitton,43,2.2,41.5,0.0,0.0,0.3,52.0,0.6,0.6,0.2,0.1,0.4,0
397,Tom Scheffler,39,1.3,41.2,0.0,,0.3,50.0,0.5,0.3,0.2,0.3,0.4,0
398,Willie White,39,3.2,41.9,0.1,36.4,0.5,67.7,0.4,0.7,0.1,0.1,0.8,0
399,Rick Carlisle,38,1.8,38.8,0.0,0.0,0.4,88.2,0.2,0.7,0.1,0.0,0.5,1
400,Ralph Sampson*,82,16.7,52.3,0.0,25.0,3.5,66.1,3.6,2.0,0.8,2.4,3.6,1
401,Steve Stipanovich,81,10.1,48.0,0.0,18.8,2.3,75.3,1.4,2.1,0.9,0.8,2.0,1
402,Ennis Whatley,80,7.0,46.9,0.0,0.0,1.8,73.0,0.8,8.3,1.5,0.2,3.4,1
403,Rodney McCray,79,8.5,49.9,0.0,25.0,2.3,73.1,2.2,2.2,0.7,0.7,1.5,1
404,Anthony Bonner,52,4.3,35.6,0.3,24.5,0.8,63.8,0.9,0.3,0.4,0.1,0.9,1
405,Mitchell Wiggins,82,10.9,44.8,0.1,24.1,2.6,74.2,1.7,2.3,1.3,0.1,1.7,1
406,Thurl Bailey,81,7.3,51.2,0.0,0.0,1.1,75.2,1.4,1.6,0.5,1.5,1.3,1
407,Jeff Malone,81,11.3,44.4,0.3,32.4,1.8,82.6,0.7,1.9,0.3,0.2,1.4,1
408,Doc Rivers,81,6.7,46.2,0.0,16.7,3.1,78.5,0.9,3.9,1.6,0.4,2.1,1
409,Roy Hinson,80,4.6,49.6,0.0,0.0,0.9,59.0,2.2,0.9,0.4,1.8,1.4,1
410,Byron Scott,74,9.3,48.4,0.1,23.5,1.5,80.6,0.7,2.4,1.1,0.3,1.6,1
411,Paul Thompson,82,8.1,46.7,0.1,23.1,1.4,77.2,1.5,1.5,0.8,0.5,0.9,0
412,Derek Harper,82,5.5,44.3,0.0,11.5,0.8,67.3,0.6,2.9,1.2,0.3,1.4,1
413,Fred Roberts,79,5.1,53.6,0.0,25.0,1.8,83.7,1.3,1.2,0.7,0.5,1.3,1
414,Rod Foster,80,7.3,44.8,0.3,26.2,1.5,78.7,0.5,2.2,0.7,0.1,1.4,0
415,Dewayne Dedmon,31,2.7,45.8,0.0,0.0,0.7,65.6,1.2,0.2,0.2,0.7,0.6,0
416,Jon Sundvold,73,6.7,44.5,0.1,24.3,0.9,88.9,0.3,3.3,0.4,0.0,1.1,1
417,Clyde Drexler*,82,6.8,45.1,0.0,25.0,1.5,72.8,1.4,1.9,1.3,0.3,1.5,1
418,Jim Thomas,72,5.6,46.4,0.0,9.1,1.1,72.7,0.8,1.8,0.8,0.1,1.0,0
419,Darrell Walker,82,6.3,41.7,0.0,26.7,2.5,79.1,0.9,3.5,1.6,0.2,2.4,1
420,Sidney Lowe,78,3.3,41.3,0.0,11.1,1.4,77.7,0.4,3.4,1.2,0.1,1.4,0
421,Dale Ellis,67,7.4,45.6,0.2,41.4,1.3,71.9,1.6,0.8,0.6,0.1,1.2,1
422,Darren Daye,75,5.4,44.1,0.0,0.0,1.3,71.4,1.2,2.3,0.5,0.2,1.3,1
423,Randy Wittman,78,4.1,50.3,0.0,40.0,0.4,60.9,0.2,0.9,0.2,0.0,0.4,1
424,Sidney Green,49,4.7,43.9,0.0,0.0,1.1,71.4,1.2,0.5,0.4,0.3,1.2,1
425,Granville Waiters,78,3.1,51.7,0.0,0.0,0.4,60.8,0.8,0.8,0.3,1.1,0.8,1
426,C.J. McCollum,38,4.7,41.6,0.8,37.5,0.6,67.6,0.2,0.7,0.4,0.1,0.9,0
427,Howard Carter,55,5.7,45.9,0.1,26.3,0.9,77.0,0.7,1.3,0.3,0.1,0.8,0
428,Dane Suttle,40,5.4,50.9,0.0,0.0,1.0,85.1,0.5,1.2,0.5,0.0,0.8,0
429,Scooter McCray,47,2.6,38.8,0.0,0.0,0.7,70.0,1.0,0.9,0.2,0.4,0.7,0
430,Sedale Threatt,45,3.3,41.9,0.0,12.5,0.5,82.1,0.4,0.9,0.3,0.0,0.7,1
431,John Paxson,49,2.8,44.5,0.1,18.2,0.3,61.5,0.1,3.0,0.2,0.0,0.7,1
432,Leroy Combs,48,3.4,49.7,0.0,0.0,1.2,61.5,0.4,0.8,0.5,0.4,1.0,0
433,Larry Micheaux,39,2.3,54.4,0.0,0.0,0.5,53.8,1.0,0.5,0.5,0.3,0.5,0
434,Randy Breuer,57,3.1,38.4,0.0,0.0,0.6,69.6,0.8,0.3,0.2,0.7,0.6,1
435,Pace Mannion,57,2.2,39.7,0.1,23.1,0.3,78.3,0.4,0.8,0.4,0.0,0.4,1
436,Kris Dunn,33,4.1,37.3,0.3,29.0,0.8,62.5,0.4,2.4,1.0,0.3,1.2,0
437,Robbie Hummel,53,3.3,37.9,0.6,36.0,0.3,93.8,0.7,0.4,0.3,0.0,0.2,0
438,Bruce Kuczenski,15,2.5,27.0,0.0,0.0,0.5,66.7,0.5,0.5,0.1,0.1,1.0,0
439,Russell Cross,45,2.5,57.1,0.0,0.0,0.8,41.8,0.8,0.5,0.3,0.2,0.4,0
440,Bob Hansen,55,2.6,44.8,0.0,0.0,0.3,64.3,0.2,0.8,0.3,0.1,0.6,1
441,Greg Kite,35,1.9,45.5,0.0,0.0,0.1,31.3,0.8,0.2,0.0,0.1,0.6,1
442,Terry Cummings,70,18.7,52.3,0.0,0.0,4.2,70.9,4.3,2.5,1.8,0.9,2.9,1
443,Clark Kellogg,81,17.5,47.9,0.0,22.2,3.2,74.1,4.2,2.8,1.7,0.5,2.7,1
444,Quintin Dailey,76,13.3,46.6,0.1,20.0,2.7,73.0,1.1,3.7,0.9,0.1,2.7,1
445,Rod Higgins,82,8.5,44.8,0.2,31.7,2.5,79.2,1.9,2.1,0.8,0.8,1.6,1
446,Craig Hodges,76,9.3,45.2,0.3,22.2,1.2,72.3,0.7,3.6,1.1,0.1,2.1,1
447,Jeff Withey,58,2.2,53.5,0.0,0.0,0.9,71.2,0.8,0.4,0.3,0.9,0.3,0
448,James Worthy*,77,10.0,57.9,0.0,25.0,1.8,62.4,2.0,1.7,1.2,0.8,2.3,1
449,Trent Tucker,78,8.3,46.2,0.2,46.7,0.6,67.2,1.0,2.5,0.7,0.1,0.9,1
450,Terry Teagle,73,10.6,42.8,0.1,34.5,1.2,69.6,1.0,2.1,0.7,0.3,1.9,1
451,Marc Iavaroni,80,4.4,46.2,0.0,0.0,1.0,69.0,1.5,1.0,0.4,0.6,1.7,1
452,Ed Nealy,82,3.0,59.5,0.0,0.0,0.9,61.4,2.1,0.8,0.8,0.1,0.6,1
453,Rob Williams,74,6.3,40.8,0.0,13.3,1.8,75.3,0.5,4.9,1.2,0.2,2.5,0
454,Jerry Eaves,82,7.0,48.7,0.0,12.5,2.4,81.0,0.4,2.6,0.6,0.0,1.9,0
455,Paul Pressey,79,5.9,45.7,0.0,11.1,1.3,59.7,1.1,2.6,1.3,0.6,2.0,1
456,Brandon Davies,51,2.5,42.2,0.0,20.0,0.7,64.2,0.7,0.5,0.5,0.2,0.7,0
457,Lester Conner,75,4.0,47.9,0.0,0.0,1.1,69.9,0.9,3.4,1.6,0.1,1.3,1
458,Mark Eaton,81,4.4,41.4,0.0,0.0,0.7,65.6,1.1,1.4,0.3,3.4,1.7,1
459,Bill Garnett,75,4.3,53.3,0.0,0.0,1.7,74.1,1.9,1.4,0.6,0.9,1.1,0
460,Jeff Taylor,44,3.6,40.0,0.0,0.0,0.7,65.2,0.6,2.5,0.9,0.3,1.4,0
461,Jeff Taylor,77,5.2,43.1,0.7,34.4,1.0,72.8,0.7,0.8,0.6,0.2,0.6,0
462,Bryan Warrick,43,4.0,38.0,0.0,0.0,1.0,73.7,0.3,2.9,0.5,0.2,1.6,0
463,Sleepy Floyd,76,6.9,42.9,0.1,40.0,2.0,83.3,0.7,1.8,0.8,0.2,1.4,1
464,Richard Anderson,78,5.5,40.4,0.1,36.8,0.6,69.6,1.4,1.5,0.7,0.3,1.2,1
465,Russ Schoene,77,5.6,47.6,0.0,25.0,0.8,73.5,1.2,0.8,0.3,0.3,1.1,0
466,John Bagley,68,5.5,43.2,0.0,0.0,0.9,76.2,0.3,2.5,0.8,0.1,1.7,1
467,Archie Goodwin,52,3.2,45.5,0.1,13.9,0.7,67.3,0.5,0.4,0.4,0.2,0.8,0
468,Cliff Levingston,62,4.4,48.5,0.0,0.0,1.4,57.1,1.7,0.8,0.4,0.6,1.2,1
469,LaSalle Thompson,71,4.0,51.2,0.0,0.0,1.3,65.0,1.9,0.5,0.6,0.9,1.4,1
470,Bruce Flowers,53,3.9,53.4,0.0,0.0,0.8,77.4,1.3,0.9,0.4,0.2,0.8,0
471,Corny Thompson,44,3.1,31.4,0.0,0.0,0.8,78.3,0.9,0.8,0.3,0.2,0.7,0
472,Walker Russell,68,2.7,36.4,0.0,11.1,0.7,81.0,0.3,1.9,0.2,0.0,1.4,0
473,Walker Russell,68,2.7,36.4,0.0,11.1,0.7,81.0,0.3,1.9,0.2,0.0,1.4,1
474,David Thirdkill,49,3.5,43.5,0.0,14.3,0.9,57.7,0.6,0.7,0.4,0.1,1.0,1
475,Dave Batton,54,3.5,44.5,0.0,0.0,0.1,47.1,0.8,0.5,0.3,0.2,0.5,0
476,Darren Tillis,52,3.5,42.0,0.0,0.0,0.3,57.1,0.8,0.3,0.1,0.6,0.4,0
477,Brook Steppe,62,2.8,47.7,0.0,14.3,1.2,76.0,0.4,1.1,0.4,0.1,0.9,1
